student,coursecode,ratings
119,BIOC2020,1.4
8,GGEO2233,1.9
117,ELET3470,3.8
99,MGMT3069,1.7
27,MGMT2020,3.9
151,FILM3815,2.4
144,PHIL2002,1.1
57,LITS3113,2.5
161,FREN3002,3.5
171,SPAN3702,3.2
49,IMCC3601,1.6
115,MDIA1006,2.6
32,CHIN1002,4.6
134,PHYS3661,4.8
42,SPAN3714,4
111,GOVT3016,2.4
151,GOVT3010,3
25,MDIA1002,3.5
193,PHYS0411,3.3
9,MKTG3003,4
101,GGEO3232,3.8
175,CHEM2512,2.7
157,PHIL3006,3.7
99,PHIL2003,4.8
199,ELET1405,5
38,BIOL2403,3.7
126,TOUR3010,3.8
104,GOVT3010,1.1
126,HIST3003,1.3
101,JOUR2301,1
4,LITS3111,4.1
143,ACCT2017,2.7
122,GOVT3050,2.4
65,LITS2511,2
150,JAPA2001,4.4
47,BOTN3401,2.4
187,GGEO3233,3.8
50,MATH3404,4.2
26,ECON3008,2.4
90,MGMT3033,3.5
89,GOVT2004,1.1
4,ECON3072,2.5
59,PHIL3012,4.7
46,HIST3013,1.9
89,MATH2430,4.7
11,GOVT3170,3.6
88,LING3304,4.4
128,FREN0001,2.4
134,IMCC3601,4.8
197,HIST1901,1.1
132,MKTG2001,2.2
146,SPAN3301,4.6
29,JOUR1001,1.6
113,CHEM1902,1.8
119,MDIA3004,2.7
24,CHIN3001,1.4
34,CHEM3010,2.8
87,SPAN3501,2.8
32,LING2402,4.1
170,LITS3205,3.5
160,MDIA1004,2.8
189,JAPA2001,3.3
24,BOTN3402,3
6,LING1402,2.2
44,GGEO3233,2
98,HIST3901,2.6
118,MGMT3069,4.3
54,HIST1901,2.6
93,MDIA3001,1.5
87,ECON2023,1.2
29,PHIL2602,2
143,LITS3111,2.7
122,MATH3801,3.7
128,MGMT2029,2.4
41,ECON1012,4.5
21,IMCC3701,4.7
81,MICR3213 MICR3214,1.8
67,TOUR3009,3.8
142,COMM2905,3
56,ECON2025,5
28,GOVT3022,1.9
85,COMM2926,2.6
151,LIST3504,4
171,GOVT2006,4.5
59,GOVT2269,2.2
172,HIST2104,4.4
21,GGEO2332,4.7
144,PHYS3500,3.6
115,PHIL2025,4.5
74,MGMT3065,2.5
50,IMCC2801,4.4
75,FILM3901,3.5
24,LING1819,4.5
4,CHEM3621,2.5
103,MATH2401,4.3
90,ELET2405,4.5
124,BIOL3313,4.5
12,SPAN1401,1.5
173,GEOL3104,3.7
182,GEOG1231,4.6
112,ACCT2015,2.5
139,PHYS3395,3.5
87,MATH2411,3.5
64,GOVT3056,4.5
171,LITS3701,1.5
154,LITS2806,3.1
12,PHYS0422,2.7
160,MATH2702,1.3
161,SPAN2501,1.1
112,COMM3910,3.8
54,BOTN2402,5
195,CLTR2518,5
22,ELET2430,4.3
33,CHEM3112,3.8
48,ECON2008,2.8
143,MICR3213,1.6
78,FILM2812,4.7
12,PHIL2701,3.4
63,MGMT3063,1.9
111,MATH2702,4.5
200,CHEM2311,3.7
173,PHYS3671,2.9
30,LANG3001,2
137,ACCT2017,1.6
69,ECON2001,3.2
44,PHIL3006,3.2
192,CHEM3711,1.9
179,MATH3155,2.9
172,HIST3407,1.3
64,MICR3214,3.1
9,CLTR2518,3.8
153,MDIA2006,2.9
128,BOTN3016,1.5
122,CHEM1901,3.7
172,ZOOL2407,1.3
183,HIST3008,2.6
43,JAPA2001,3.8
144,BIOC2022,3.3
101,GEOG3132,3.8
19,HIST2406,1.2
24,IMCC3801,2.3
173,PHIL2003,2.1
19,HIST2304,2.1
69,ELET2480,3.8
44,PHIL2702,2.4
102,MGMT3018,2.4
11,CHEM3621,3.4
19,MICR3216,2.5
180,HIST2007,1.6
55,MGMT3089,4.1
78,LITS3701,1.5
70,HIST1801,1.2
16,SOWK3017,4.1
42,PHYS2396,2.1
60,GGEO2233,1.9
154,HIST3008,4
160,COMM2926,2.2
146,HIST3501,2.9
154,COMM3301,4.8
80,HIST3407,1.3
158,BIOL2404,2.7
94,JOUR1001,3
40,GEOG1232,1
178,SPAN2705,4.3
52,CHEM2511,4
116,MGMT2029,2.3
65,CHIN3001,1.2
65,GOVT3114,4.4
165,BOTN3404,1.9
85,LITS2606,4.4
154,CLTR2506,1.9
43,STAT2003,1.5
82,LIBS1502,2.7
137,CLTR3508,4.5
97,GGEO3233,2.2
81,CHEM3510,2.7
169,MATH2230,1.1
57,MGMT3231,4.7
63,LITS1003,1.6
198,ECON3073,4.8
34,PHYS3661,3.5
21,CHEM3513,4.6
180,TOUR3005,4.4
141,GEOL3104,3.9
95,CLTR2524,2.7
134,HIST3008,4.3
126,LING1001,1.8
12,MUSC3300,2.8
121,ECON1005,1.9
49,HIST3610,2.6
187,CLTR3507,2.4
109,BIOC3013,1.9
191,CHIN2002,4.4
98,SOWK2009,1.9
19,ECON1012,1.8
66,GGEO3231,2.1
102,PHIL3006,3
28,SOWK2107,3.8
17,JOUR2401,4.7
131,MATH3401,3
152,ELET2415,1.5
86,SOWKMDIA3004,4.4
193,ECON2020,3.8
48,MICR1010,1.7
101,MGMT3231,4.1
150,CHEM2010,4
67,MICR3216,2.4
69,ELET2470,4.6
121,MATH0100,4
35,SOWK2021,1.9
114,HIST3203,4.7
124,ACCT1002,3.4
103,LANG3001,1.5
50,JOUR2401,1.2
194,GEOG2231,4.3
10,CHEM2402,2.5
196,MGMT2008,1
85,LING3202,2.4
1,LISB2502,4
132,IMCC3900,2.6
12,HIST3901,2.4
159,CLTR3905,2
74,TOUR3004,1.5
164,PHYS3341,4.3
124,GOVT1000,4.5
174,MGMT3012,1.9
37,PHYS3386,3.8
80,CLTR2518,2.2
97,GOVT3118,2.4
36,FREN3502,1.4
150,SPAN3301,3.7
133,MGMT2029,1.7
14,HIST1304,1.5
198,SOWK3014,5
135,JOUR3901,4.3
61,MGMT3021,3.7
71,MG2026,3
57,TOUR3010,3.8
128,SPAN3714,4.3
132,HIST1601,1.2
179,LIBS3604,1.1
142,BIOL2403,4.9
190,MGMT1002,2.7
135,MATH1141,2
112,GOVT2005,3.7
78,PHIL2005,2.5
90,BIOC2014,2
98,MATH2230,3.1
174,JOUR2801,1.6
111,PHYS2561,1.1
195,HIST3022,1.8
69,MATH2411,4
74,PHYS2671,1.9
78,MICR3216,3.9
112,MDIA1002,2.4
15,IMCC2900,4.7
195,GOVT2260,3.2
181,MATH2701,4.9
130,BOTN3405,2.4
41,MATH3405,1.6
19,MGMT3048,2.8
134,MGMT2023,3.6
171,LING3201,3.7
120,CHEM2402,1.3
31,LITS2111,1.7
95,CHEM2510,2.6
179,ECON2016,3
125,CHEM2310,1
3,JOUR1002,2.6
66,HIST2304,4.5
27,GOVT2110,4.3
76,GOVT3115,2.8
15,CLTR2519,4.2
133,LITS3205,1.5
108,HIST3610,1.6
125,HIST3601,1.1
72,PHYS2600,3.1
124,ECON3040,1.1
129,BIOT3116,2.5
33,MATH3414,3.4
183,BIOL3313,2.4
27,SPAN2503,1.1
40,MDIA3005,1.1
120,CHIN2001,1.4
30,ACCT2015,2.4
110,ACCT3043,1.4
196,COMM3428,2.6
121,MGMT3089,2.2
182,HIST2006,1.4
123,ZOOL3406,2.5
82,TOUR2002,4.1
18,GOVT3114,1.8
150,GEOL1101,3.5
133,CHEM1902,2.7
88,LITS3402,1.7
173,ECON1004,3.3
154,HOSP3001,1.1
166,PHIL3602,2.1
171,ELET2450,1.7
133,GOVT3179,4.7
163,CLTR2018,3.2
158,JOUR2401,1.2
122,CLTR2605,3.4
31,PHIL2005,4.2
104,LANG2001,2.5
96,COMM3931,4.6
199,COMM2926,4
194,HIST3303,3.4
69,ECON1004,1.2
18,PHIL2003,2.9
80,BIOC1020,4.4
3,LING2821,1.6
119,MATH0110,1.5
84,CHEM1901,2.9
64,ACCT3041,4.8
100,JOUR2801,4.4
34,HIST2006,3.6
57,GEOL2201,2.9
21,MGMT3031,2.3
41,AGLS3001,3.9
105,HIST2404,1.5
33,BIOL3407,4.2
12,GOVT3033,3.5
140,GOVT2007,3.6
166,ELET3600,4.7
176,ECON2010,3.8
129,CHEM3213,3.6
189,CHEM3512,2.3
160,SPAN1402,2
108,MGMT3056,1.5
84,CLTR2018,3.3
40,MATH3412,1.3
91,CHEM3611,2.9
109,PHIL2601,1.9
27,MATH2702,3.4
67,LITS2004,4.7
165,LIBS1003,1.2
141,BIOL3406,1.1
151,ELET2480,3.2
147,MGMT2012,1.3
113,LIBS3901,4.7
96,PHIL2701,3.7
56,MDIA3004,4.7
172,MICR3214,1.9
96,SOWK2005,3.6
182,PHYS3661,3.4
126,ACCT3106,2.1
130,LIBS3901,3.3
89,LING2821,4.6
74,GGEO3233,4.5
150,ACCT3039,2.9
64,IMCC3701,4.9
40,JOUR1002,3.2
45,MICR3216,4.2
77,LING1002,3.4
139,CLTR2018,1.7
22,HIST3008,1.6
18,PHIL3602,4.3
169,PHIL1001,2.3
74,MDIA1006,2
129,ELET3450,4.1
86,COMM3428,2.9
22,GOVT3016,4.7
137,FILM2826,1.4
155,MGMT3052,1.6
96,CHEM3401,4.6
69,JOUR2401,4.3
66,BIOC3011,2.5
34,MATH3802,3.7
181,HUMN2201,4.6
96,HUMN3199. FREN3507,1.6
182,CLTR2501,2.1
54,MATH1185,3
65,CLTR3506,3.6
84,MGMT3063,2.3
172,BIOT3116,2.2
12,HIST3902,3.6
95,ELET1405,4.9
68,PHIL2701,1.2
180,MATH1141,2.7
107,FREN1001,3.5
135,JOUR2301,1.7
60,LING3303,1
157,FREN2001,4.5
178,LIBS3007,4.7
9,SOWK2001,3.3
122,SOWKMDIA3004,4
70,MICR3215,1
24,TOUR3000,3.8
141,SOWK2002,5
98,GOVT2012,3.2
47,HIST2301,2.3
104,CHEM2410,1.6
72,FREN3507,2.8
27,PORT0101,1.5
179,MKTG3001,2.6
44,PHYS3562,3.3
16,PHYS2296,2.6
52,BIOC2020,2.6
167,GOVT3009,4.6
144,HIST1901,4.6
29,PHIL2602,3.7
89,JAPA3001,4.8
55,MATH2411,4.8
39,FREN3001,4.8
139,MICR3214,2.5
135,LIST3319,3
180,HIST3310,2.6
163,GOVT3039,3.5
77,PHYS3561,4.1
28,ECON2024,3.8
154,SOWK2021,2
120,PHIL3099,1.9
94,GOVT3012,1.4
104,COMM3399,2.4
148,HIST2405,1.7
34,JAPA2001,1.1
121,LITS3601,4.9
180,SPAN2502,4.2
5,CLTR3516,2.3
182,GOVT2012,1.1
97,JOUR1002,4.2
2,IMCC3601,4.6
37,MICR3213,1.9
21,CLTR3505,1.3
135,MGMT3101,2.8
21,FREN3003,3.1
75,BIOL2312,2
173,BIOC2014,2.6
79,MICR1010,2.4
70,LITS2606,4.7
167,FREN3502,2.9
88,HIST3502,2.4
103,SOWK3010,3.3
116,MICR2211,4
146,GGEO2332,2.7
53,LING1001,1.7
197,LIBS3801,3
127,GOVT3170,1.9
98,MGMT2068,2.9
171,GOVT3118,2.2
35,MGMT2026,2.7
164,CLTR3505,3.3
157,HOSP3001,2.9
186,HIST1601,2.4
164,BIOL2404,2.9
105,ELET3480,1.4
100,CLTR3803,2.5
15,MGMT3089,1.6
74,BIOC2021,4
152,SPAN3502,3.4
131,IMCC2601,4.5
184,MICR3214,2.1
130,SPAN3501,4.3
42,SOWK3010,3.6
87,MATH3403,3.8
76,MGMT3012,4.7
97,MGMT2012,2.8
178,BIOL3313,2.1
19,SOWK2008,2.6
84,MATH3802,2.3
57,CLTR3518,2
64,PHIL1003,1.6
116,ACCT2015,1.5
92,GEOL1102,4.3
198,MGMT3058,3.6
49,GEOL3108,4.8
61,CLTR3516,2.7
50,GOVT2037,1.8
127,PHIL3099,3.8
121,CHEM3513,4.5
137,BIOL1263,1.2
141,HOTL3001,4.6
63,MKTG2001,1.8
69,MUSC1100,1.9
158,HIST3601,4
50,ECON1005,1.9
8,PHYS1411,1.3
41,SPAN2108,2
193,CHIN2002,4.9
125,BIOL2402,2.1
134,FILM1823,4.2
171,MGMT3069,1.4
144,BIOT3116,2
187,LITS2503,4.3
9,ELET3490,4.8
99,SPAN3501,3.2
137,CLTR3518,2.5
53,LITS1003,2.5
82,TOUR3010,3.3
170,SOWK3009,2.7
115,COMM3248,4.8
70,MATH3803,2.3
87,FREN2002,4.8
193,GOVT3011,3.1
139,MT2021,2.7
187,LING3304,2.8
31,LIBS2103,1.1
118,CLTR3506,3.8
115,ECON3040,4.8
107,IMCC3901,1
77,GOVT1013,2.7
136,LANG3003,1.1
152,ECON2002,1.4
66,ECON2023,2.8
145,FREN2001,1.5
150,GEOG1132,3.5
98,CHEM3512,1.6
80,HIST3407,4.5
162,CHEM3510,4.8
89,GOVT2001,1.9
78,BIOC1021,2.3
85,FREN2214,2.6
189,ECON3008,4.9
27,MATH1141,2.9
32,FREN0101,3
71,GEOL3002,5
111,ECON3069,1.7
51,BOTN2401,3.3
94,ECON2016,3.1
166,ECON3050,2.4
57,CLTR3516,2.2
12,MGMT2026,1.6
185,MKTG3010,1.2
20,ECON3008,2.9
2,ZOOL3403,4.6
109,COMM3199,3.3
140,MATH3423,2.8
106,LIBS3801,1.9
143,ECON3011,1.6
173,LING1002,3.7
160,ELET2415,1.6
64,MATH3403,2.3
18,HIST3303,4.4
30,ZOOL3404,2.2
43,LING3202,4.9
74,PHYS3399,3.5
172,ELET3460,4.1
62,CHEM2510,2.3
3,GOVT3051,4.5
123,CLTR3507,3.5
84,LING1819,5
101,BIOL3312,2.1
11,ZOOL3406,4.1
168,GOVT3010,1.5
175,MKTG3003,4.7
155,MGMT2029,2.2
74,PHYS3681,4.7
13,IMCC2601,1.7
162,MGMT3231,4.4
32,PHIL3018,5
74,FREN3003,3.2
1,JOUR3901,3.9
11,COMM3301,2.4
16,MATH3803,1.6
160,PHIL2902,1.8
169,LIBS3901,3
57,ACCT3106,2.6
22,MATH3806,4.1
89,CHEM3512,3.8
175,MICR3213,3.2
16,COMM5201,2.2
125,SOWK2003,4.5
122,ELET3440,2.5
192,CLTR2803,3.7
199,LITS2107,2.9
121,LITS2603,4
171,LIBS1401,3.3
182,GOVT2048,2.5
196,MGMT3033,3.4
57,ECON2014,1.6
182,ELET3470,4.4
47,MGMT3230,3.8
71,LITS1003,4.4
74,MGMT3056,2.5
39,FILM3820,3.6
131,FILM2824,2.9
104,LING2810,1.2
69,MDIA2003,4
87,PHYS3671,1.5
156,SOWK3009,4.1
174,CLTR2803,4.3
126,LITS2304,4.5
189,JOUR3801,2.5
160,LITS2606,1.4
142,LITS1007,2.9
99,ECON3034,2.8
162,LITS3113,1.2
35,CHEM3512,2.7
55,MATH3155,4.7
190,MATH3421,3.3
61,ELET2415,2.1
57,MICR2211,4.1
192,FREN1304,3.1
180,PHIL2902,2.5
2,LITS2111,4.1
43,PHYS3399,1.7
171,ELET2470,4
129,ELET3430,1.4
85,ACCT1005,3.7
14,FREN2002,4.8
150,MGMT3062,4.1
124,LITS3103,2.7
41,MDIA2002,1.1
62,MATH3802,4.6
54,PHYS3351,2
113,STAT3003,2.2
171,LIBS2702,4.2
13,BIOC3413,4.2
86,CLTR2705,3.9
75,STAT1001,3.5
109,BIOT3114,2.8
105,MATH2431,4.7
15,ECON2008,2.4
170,SPAN2503,3.6
29,GOVT2004,3.3
88,HIST2403,5
94,CLTR2524,1.2
53,PHIL2001,1.1
124,PHIL3018,1.2
144,SOWK3009,2.6
129,SPAN2502,4.2
46,BIOL2406,2
134,GOVT3056,2.7
6,ELET3600,3.7
150,JOUR1001,4.8
44,ELET2480,3.4
185,TOUR3007,1.9
26,HIST3502,3.3
69,CLTR2518,2.6
58,CHEM3512,1.8
157,CHIN2001,3.4
88,SOWK2009,3.8
122,CHEM2310,4.1
56,HIST3019,1.3
67,CLTR3903,3.7
61,COMM3931,3.3
106,LIST3317,4.3
105,CHIN3001,1.5
62,HIST3610,2.7
24,ECON3006,2.1
123,LANG3101,2
188,BIOL3312,3.6
46,LING2204,1.7
33,LING3304,4.3
30,MGMT3124,2.2
172,SPAN3002,4.1
190,FILM2826,1.4
99,PHYS2396,1.2
140,LITS2806,4.9
161,PHIL3026,1.1
158,CLTR1001,1.7
30,LITS3205,4.7
106,MGMT3017,1.9
46,LITS3111,1.7
173,MDIA3005,1.2
157,LING3002,4.4
54,GOVT2047,1
157,CLTR2518,2.4
76,ELET3450,1.6
140,BIOT3116,3.4
36,CLTR2506,3
48,GOVT2070,4.5
115,SPAN2302,1.3
160,SPAN2705,1.4
170,,2.7
88,PHYS3561,3.9
198,PHIL3026,1.6
178,MGMT3231,4.7
67,MICR3216,3.8
136,GEOG3333,4.6
21,PHYS2296,1.8
106,HIST1801,4.3
146,GOVT3010,4.1
110,CLTR2524,4.2
18,HIST3301,1.1
83,SOWK2107,4.9
128,PHIL3018,1.4
41,COMM3931,4.8
165,CHEM2211,1.3
174,MGMT3065,3.2
75,SOWK2007,4.1
173,HIST2006,3
179,CHEM2011,4.3
135,MICR2211,4.4
23,JOUR1004,2.5
54,CHEM2410,1.4
111,ELET3480,1
40,PHYS2671,4.6
96,ECON2020,4.6
122,FREN3508,1.5
21,HIST2006,1.4
7,MDIA3005,3.6
48,MKTG3070,4.4
112,BIOL3017,2.9
3,PHYS2671,3.8
6,PHIL1003,3.2
100,JOUR1002,3.6
121,MUSC2200,3.3
122,ECON3069,1
184,LING3202,1.6
92,GEOG2232,4.8
172,JAPA3001,4.1
66,ELET3490,4
8,BIOC2021,1.9
10,HIST2203,3.1
177,GOVT2260,2.1
122,GGEO2233,3.8
152,LITS2504,1.4
148,ZOOL3408,5
73,PHIL3601,3.1
150,MATH2431,3
14,BIOC2020,4.3
31,CHEM3621,3.5
74,LITS2511,4.5
127,SPAN1001,2.1
13,IMCC2601,2
113,GOVT1012,4.9
76,IMCC2900,3.3
137,PHIL3026,1.1
70,MGMT3062,2.7
11,GOVT2011,1.1
190,BOTN3401,1.1
147,LIBS3007,4.5
31,BOTN2402,1.8
116,FREN2214,4.9
74,LITS3701,4.1
13,ELET3440,4.7
27,LITS2603,4.3
104,FREN3002,3.5
181,MGMT2026,3.7
57,ACCT1002,4.2
89,COMM5001,1.8
11,LING3201,1
37,MGMT3056,4.5
100,LIST3317,3.4
135,GOVT3202,1.6
41,CLTR3507,3.4
181,HIST2406,3
158,PHIL1003,3.8
5,LITS3103,3.5
51,PHYS3500,1.9
121,FREN0101,2.4
147,HIST3011,4.5
32,SPAN2502,2.1
15,LIST3505,4.9
101,ACCT3043,4.7
33,CLTR2018,3.9
106,PHIL2902,4.6
36,PHIL3006,1
154,MICR2211,3.2
150,CHEM3402,1.8
147,CHEM3511,3.9
54,SPAN2302,4.1
84,PORT0101,3.1
95,MDIA1002,1.9
57,SPAN3002,4.7
26,MKTG3070,4.3
54,LITS2504,3.2
101,SPAN1001,2.2
165,LIBS1401,4.9
46,ZOOL3404,1.2
145,PHYS3399,1.4
32,ECON2020,4.2
88,LING2501,2.6
136,MATH3421,4.6
26,GEOL3105,3.3
52,FREN2001,3.6
139,IMCC1010,4.8
84,LIBS3207,2
27,LIBS3207,3.9
48,MATH1142,1.9
113,GOVT3055,3
33,MICR1011,2.7
70,MGMT2008,4.5
80,GOVT1008,1.3
109,STAT1001,4.4
130,LIBS3502,2.5
110,ZOOL3408,2.6
150,LIBS1003,2.2
152,ECON1000,1.7
158,CHEM1901,4.6
143,BIOL3312,4
139,LING2810,1
156,BIOC3413,2.8
187,MKTG2001,3.8
115,BIOT3113,4.8
173,HIST3411,1.9
7,MGMT2004,1.2
28,COMM2907,2.9
176,COMM3910,1.7
140,MGMT2029,4.7
194,MATH1152,2.8
3,CHIN3002,4.1
42,BIOL2404,1.3
157,MATH3402,3.8
185,ZOOL3410,1.6
198,ECON1003,4.5
115,TOUR3005,1.8
131,MGMT3052,1.6
79,STAT3002,4.5
107,HUMN3099,1.9
71,CHEM3110,1.9
1,CHEM2511,2.8
98,ELET3440,3.4
7,MATH3803,3.4
5,ECON3031,2.7
164,COMM3000,2.1
18,PHIL3099,2.8
106,LIBS3901,1.7
112,MATH3805,4.9
126,MKTG2001,4.2
21,ELET2410,3.2
107,HIST2406,3.3
179,HIST3019,1.4
12,SPAN1401,3.6
159,GOVT2260,4.6
166,LING2821,1.7
70,AGBU3012,3.2
97,GOVT3178,3.7
116,GEOL3002,2.9
36,LITS3111,1.3
7,GOVT2009,4.6
61,PHIL2602,4.2
164,CLTR3506,4.3
53,GOVT3022,1.6
89,HIST3305,2.7
22,GOVT2001,4.5
84,MGMT3022,3.5
108,ECON3006,2.1
53,GOVT2004,4.4
80,SOWK3020,4.9
62,PHIL2025,1.6
89,BIOL2406,1.6
176,MATH3401,4.8
52,MGMT3067,4.5
94,STAT1001,3.8
178,HIST1407,3.1
42,GEOG3132,1.9
32,CHEM2310,3.1
76,HIST3013,1.7
15,GEOG2131,2.6
160,HIST3303,2.9
88,MICR2211,4.8
115,CLTR1005,3.7
89,BIOC2014,4.1
4,MKTG3003,1.7
176,MICR3215,3.4
135,PHYS2396,4.5
175,PHYS1422,3.5
188,GOVT2110,1.8
77,PHIL3099,1.1
106,ECON2001,4.6
81,LITS2103,3.5
66,MATH2403,3.3
130,IMCC3701,2.7
176,MATH2407,3.7
155,AGBU3012,3.4
43,ECON3049,2.3
28,CHEM1902,1.6
110,PHIL1003,4.4
184,LING2820,3.9
69,COMM5001,3.6
100,MDIA1006,4.8
108,CLTR3516,2.4
64,LIST3714,4.9
91,MG2026,2.2
68,GOVT1008,2
33,IMCC3701,4.4
80,PHIL2702,1.1
158,GOVT3056,4.7
154,HIST3025,3
84,MDIA2004,1.6
31,GOVT2267,3.9
80,GOVT1001,2.8
